,0,1,2,3,4
W_53.wrd,-2.6870181486565627,-20.18596531255222,-14.380734146707692,-5.382423470477159,2.4328772508563064
W_54.wrd,-2.573365556991873,-19.332308495577074,-13.772594525990812,-3.2189674045101557,1.8854594143310046
W_55.wrd,-2.6080078665910253,-19.59239825238339,-13.958001643845858,-1.603080122532312,0.7110157476715574
W_56.wrd,-2.4750078857312046,-18.593270255639887,-13.246164280935748,-1.3951028814110198,0.8834309047820276
W_57.wrd,-2.77566460299529,-20.85195748656959,-14.855305140793874,-3.506829928629494,1.9269046392755935
W_58.wrd,-2.518255150156927,-18.918216525190026,-13.477647180446816,-3.0538001257756524,2.3993402325743665
W_59.wrd,-2.4388338240294125,-18.321606168034947,-13.05264196584293,-1.8084287210512413,1.2429244790501341
W_6.wrd,-2.281381796894247,-17.138774522554627,-12.209907957060036,3.0161373454279636,-2.8819124891751597
W_60.wrd,-2.5825880630393376,-19.40161855710948,-13.822038789403045,-2.5490883294959095,2.4406393587113424
W_7.wrd,-1.965238622707612,-14.763765467268016,-10.517899203883953,2.211701212244713,-1.9697280188073472
W_8.wrd,-2.541485728415725,-19.092887431445085,-13.602004878858246,0.8039215996539777,-1.1605180937399397
W_9.wrd,-2.210516135907408,-16.60641277774031,-11.830617897515609,1.4702227913174095,-1.3987786334628272
X_1.wrd,21.17530569639505,-2.1951647571907293,13.778210290765424,0.8659507549525428,2.3044299291272092
X_10.wrd,17.423359459558277,-1.806204622794291,11.336932305023403,1.4668173911467215,1.9389684379081054
X_11.wrd,20.06005865762337,-2.079547738222418,13.052555901709603,2.3291346919072047,3.583351266016049
X_12.wrd,18.842992989705927,-1.95337851401983,12.260660355909039,-1.200274127327405,-0.2442129947010899
X_13.wrd,16.13621188259559,-1.6727642105462772,10.499425217693258,3.6488067306438743,3.973845794383705
X_14.wrd,19.148176018879923,-1.9850034009215554,12.45923123098067,1.5597246454245606,2.0971226253306705
X_15.wrd,21.38789925496368,-2.217148453787929,13.916633721068822,-6.169125586667441,-1.5188484559086177
X_16.wrd,16.419961170034128,-1.7021746174619707,10.684052298643639,2.4195716838247474,2.682132137656503
X_17.wrd,20.95621403471667,-2.1725470889936727,13.635583283294968,-2.61018983421697,-0.8440406656109194
X_18.wrd,15.452000416762322,-1.6018399915018193,10.054224287718156,3.8072976433259655,4.136641504746996
X_19.wrd,18.891292693192316,-1.9583629374074585,12.292077986630389,0.20948995906593648,0.5771229640042247
X_2.wrd,19.103060928034342,-1.980300181651046,12.429875370555386,1.07950505741609,2.0642119262597203
X_20.wrd,21.593008039525017,-2.238454967517425,14.050042441250385,-3.1132295209990084,-1.5554980705877277
X_21.wrd,15.346486670323069,-1.5908931705133362,9.985567391537558,4.4890609030741135,5.093580523927813
X_22.wrd,21.16734289546345,-2.194325796404385,13.773005763311465,-2.1092005145237738,-0.6970455750788093
X_23.wrd,21.09156608873005,-2.186395675278792,13.723792550475347,-6.669320859121461,-4.065960347530143
X_24.wrd,21.58849246810567,-2.23800094398073,14.047051244993918,-1.407408991219246,-0.17784993811898608
X_25.wrd,23.34713924602236,-2.4203029654803743,15.191373430005727,-1.3937895362092294,0.38771860416382176
X_26.wrd,22.483743207402945,-2.330812708113586,14.629561649255292,-3.702198111237466,-2.2469352181740354
X_27.wrd,21.301546898463027,-2.2082593660277072,13.8603089121069,-2.5696416624530705,-1.2558141136383187
X_28.wrd,21.287659228468176,-2.2068025343462456,13.851294761530463,-4.164858816084466,-3.0513364511340684
X_29.wrd,19.88536867187927,-2.061414577937859,12.938891145963947,-0.8145118831960998,0.06359834251711541
X_3.wrd,17.505119579480315,-1.814673873562895,11.390129527279996,1.9672885922557775,2.250016448032593
X_30.wrd,20.89293393002519,-2.165897323016467,13.594449038331467,-3.4313990545443125,-2.138392655574832
X_31.wrd,19.349563324294515,-2.0058752017798938,12.590240731857925,-2.1965631091232134,-1.5172719384490816
X_32.wrd,8.39340173375869,-0.8700845376176988,5.461321534625928,53.1430576767664,64.39857292929497
X_33.wrd,20.29423482750364,-2.1037946758194015,13.204915656384673,-2.7644210968627214,-2.457796187778822
X_34.wrd,15.540078871898727,-1.6109652995110952,10.111524317194199,2.40476112908927,2.7757586181006215
X_35.wrd,12.599312935699265,-1.3061105950552143,8.198046792370302,1.6699704544440945,1.273266068619472
X_36.wrd,20.026009453900528,-2.076000720316569,13.030379774173863,-0.5137579092961567,0.03861224078568919
