,0,1,2,3,4
W_7.wrd,0.0,0.35708989303522176,0.0,0.0,0.058087356804316016
W_8.wrd,0.0,0.3007226737417187,0.0,0.0,0.029794480733035002
W_9.wrd,0.0,0.32467925137638187,0.0,0.0,0.060363215366456786
X_1.wrd,0.0,0.0,1.1166662317997505e-178,0.12375434874057518,4.530346554468306e-92
X_10.wrd,0.0,8.49935688778341e-215,0.0,0.14193978471953697,0.0
X_11.wrd,0.0,1.8746316063936844e-214,0.0,0.12670969188064982,0.0
X_12.wrd,0.0,1.9708934592265935e-214,0.0,0.129801081668718,0.0
X_13.wrd,0.0,0.0,6.71230869870654e-179,0.14965149571503633,2.7232026651958845e-92
X_14.wrd,0.0,0.0,1.312387290902793e-177,0.11664723972837807,5.324392438989514e-91
X_15.wrd,0.0,0.0,3.931408849358693e-178,0.1036740873999938,1.594983713816861e-91
X_16.wrd,0.0,2.1823152874612303e-216,0.0,0.145725175319858,0.0
X_17.wrd,0.0,0.0,0.0,0.10954455506868546,0.0
X_18.wrd,0.0,0.0,1.0572895134675241e-177,0.14247171392748037,4.2894535251533084e-91
X_19.wrd,0.0,0.0,0.0,0.1435163949560117,0.0
X_2.wrd,0.0,2.666304788946164e-214,0.0,0.12681969709967225,0.0
X_20.wrd,0.0,2.924749269692573e-215,0.0,0.10564356040869392,0.0
X_21.wrd,0.0,0.0,3.066621723152598e-177,0.13959862056865818,1.2441371254641398e-90
X_22.wrd,0.0,0.0,5.220023512359189e-178,0.11145802631683342,2.117778335192022e-91
X_23.wrd,0.0,4.775142492046292e-216,0.0,0.11117991899980373,0.0
X_24.wrd,0.0,0.0,3.3296782298264114e-178,0.1181413153266787,1.3508598958589644e-91
X_25.wrd,0.0,0.0,0.0,0.10408425288166899,0.0
X_26.wrd,0.0,0.0,0.0,0.11229283358473066,0.0
X_27.wrd,0.0,0.0,1.9547451439307176e-178,0.10698896814693261,7.930456456444838e-92
X_28.wrd,0.0,8.355716124271116e-216,0.0,0.11065269000560497,0.0
X_29.wrd,0.0,0.0,1.0665375748145527e-177,0.11740192435393144,4.326973172175772e-91
X_3.wrd,0.0,6.609353409887367e-216,0.0,0.14508571014676144,0.0
X_30.wrd,0.0,7.177127760741498e-216,0.0,0.1155743421040983,0.0
X_31.wrd,0.0,0.0,0.0,0.13017628279204574,0.0
X_32.wrd,0.0,0.0,2.226443729225634e-176,0.03990753490362118,9.032745318319792e-90
X_33.wrd,0.0,0.0,0.0,0.12819829701138466,0.0
X_34.wrd,0.0,0.0,5.138531397044564e-178,0.14466891226909903,2.0847167530183543e-91
X_35.wrd,0.0,0.0,0.0,0.17560474344191504,0.0
