,0,1,2,3,4
W_43.wrd,-7.570790286835582,-12.379412032762135,-11.564693924119917,0.7555788925721637,0.02288928128036709
W_44.wrd,-8.509661601347124,-13.914609590629258,-12.998857155071336,0.29193327325599044,-0.09237316631086674
W_45.wrd,-11.172323227486395,-18.268395625957538,-17.066148931005337,-6.5472106572267155,1.5319928300846886
W_46.wrd,-9.151106290098515,-14.963498988400518,-13.978679318382026,-2.1321663800965385,0.9247470892002126
W_47.wrd,-8.286889475243495,-13.550349648588778,-12.658568233805584,0.47621012333155144,-0.0807794325286031
W_48.wrd,-11.1802901641519,-18.281706499106953,-17.07837001349985,-5.943463511321733,7.0358649358861065
W_49.wrd,-9.42910321470492,-15.41806868354914,-14.403367205535384,1.6446580032270786,0.15522219189530514
W_5.wrd,-8.150586340932591,-13.32746022307975,-12.450352440672459,1.1223298120440215,-0.33272037561465384
W_50.wrd,-10.274789544799477,-16.800958698525978,-15.695186574202124,-4.308785935561218,1.0018058032595138
W_51.wrd,-10.772801927120232,-17.615159096730284,-16.455922528903372,-4.0877610607279316,-0.5696819514947719
W_52.wrd,-8.586634604305505,-14.040470101576652,-13.116442653020629,0.9174315843303736,-0.269466440204132
W_53.wrd,-10.17153955216363,-16.632055992070534,-15.537444970014105,-4.331367285289193,0.17041362490303466
W_54.wrd,-9.741408048142292,-15.928695347231661,-14.880384319687334,-2.778632943681125,0.10702489387573229
W_55.wrd,-9.872487866591594,-16.14301634447877,-15.080611320521015,-1.5898344519204495,-0.11957765398154811
W_56.wrd,-9.369017641434379,-15.319774623382342,-14.311558895723069,-1.305780661676214,-0.16284249847681773
W_57.wrd,-10.50714906685807,-17.180816114846962,-16.0501080720257,-2.4067154183267756,0.33890653338300103
W_58.wrd,-9.532755496085294,-15.587499894828287,-14.561656217440055,-2.6202720408101388,-0.4054162836792028
W_59.wrd,-9.232129298589538,-15.095943671710467,-14.10244624638536,-1.12532394514248,0.04137648200931977
W_6.wrd,-8.636115988348054,-14.121368190271722,-13.19201492949386,1.8049825802586026,-0.6379627981225547
W_60.wrd,-9.776335005437668,-15.985814231223502,-14.933748437991575,-1.9209232815079578,0.22194770885765622
W_7.wrd,-7.43935751515744,-12.164498219443818,-11.363924545911013,1.5573810124658423,-0.2685467019327282
W_8.wrd,-9.620756326262669,-15.73143567572375,-14.69610622302938,0.5061127243677577,-0.01888122286897693
W_9.wrd,-8.367854242202172,-13.682730576956182,-12.782237060183343,0.9143563602961248,-0.3906393639525667
X_1.wrd,-13.618073630221296,1.0380644499317386,21.366337754945775,1.2856539252028971,-0.5485001334839587
X_10.wrd,-11.205155303807887,0.8541455792896626,17.58056471697273,1.880469149581767,-0.8191717727193554
X_11.wrd,-12.900844537780868,0.9833768820855451,20.24103235515397,2.6319408088198673,-1.374143217894275
X_12.wrd,-12.1181353146476,0.9237631922149145,19.013032348713757,-0.35321606060057065,0.15265599688404333
X_13.wrd,-10.377368631444153,0.7910376697454666,16.28179857987613,4.120195677487028,-1.8178333807231524
X_14.wrd,-12.31438701514226,0.9387035845610232,19.32094553580145,1.9866964561341292,-0.6252854040898274
X_15.wrd,-13.754713219261255,1.048662440192807,21.58104463358665,-1.5249754319576307,0.16109402849886847
X_16.wrd,-10.559853970984216,0.8049533258671409,16.56811217599405,2.770462096553132,-1.231011065860134
X_17.wrd,-13.477229441270792,1.027306511201209,21.145187200871902,-2.0577793896669196,1.7396737158546596
X_18.wrd,-9.937348743096779,0.7574979555502053,15.591418943232005,4.175588502052277,-1.880606766973732
X_19.wrd,-12.149192429233151,0.926114814510081,19.061734589582983,0.5784597038716098,-0.18671658111540607
X_2.wrd,-12.285389009223062,0.9364875090421105,19.275402554732196,1.3061133951219255,-1.045938970338084
X_20.wrd,-13.886683939688217,1.0585991016960785,21.787889490490805,-1.8249016806853444,0.09475733636089169
X_21.wrd,-9.869494263016048,0.7523341127778933,15.484954928345202,4.669907542979658,-2.5499999216636
X_22.wrd,-13.612970446450117,1.0377143261826014,21.358294525006364,-2.668770533495606,0.49334164642513434
X_23.wrd,-13.564328760364136,1.0341002717416867,21.282036930426635,-7.948778645075006,-1.2217221562003966
X_24.wrd,-13.883809211358761,1.0583344006805178,21.78324999956933,-1.2645128116648692,0.3968293073075331
X_25.wrd,-15.014802961182463,1.1445663664483148,23.55779009223796,-0.9214021534207716,-0.4421253536305326
X_26.wrd,-14.459553654957071,1.1022515117679001,22.686608798094305,-3.61510165970787,0.543472937192466
X_27.wrd,-13.699265284897555,1.0442935570261158,21.493702923118022,-3.522472454345051,0.9158014856510056
